"#","Reference","Qty","Value","Footprint","DNP"
"1","C1","1","100nF","Capacitor_SMD:C_0805_2012Metric",""
"2","C2","1","100pF","Capacitor_SMD:C_0201_0603Metric_Pad0.64x0.40mm_HandSolder",""
"3","C3, C4, C5, C6","4","10uF","Capacitor_SMD:C_Elec_6.3x7.7",""
"4","D1","1","LED ON","LED_SMD:LED_1206_3216Metric",""
"5","D2, D11, D12, D13, D14, D15, D27, D28, D29, D30, D35, D40, D41, D42, D45, D56, D57, D58, D59, D60","20","1N4148","Diode_SMD:D_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"6","D3, D4, D5, D6, D7, D8, D9, D10, D16, D17, D19, D20, D21, D22, D23, D24, D25, D26, D31, D32, D33, D34, D36, D37, D38, D39, D43, D44, D46, D47, D48, D49, D50, D51, D52, D53, D54, D55, D61, D62, D63, D64, D65, D66, D67, D68, D69, D70, D71, D72, D73, D74, D75, D76, D77, D78, D79, D80, D81, D82, D83, D84, D85, D86, D87, D88, D89, D90, D91, D92, D93, D94, D95, D96, D97, D98, D99, D100, D101, D102, D103, D104, D105, D106, D107, D108, D109, D110, D111, D112, D113, D114, D115, D116, D117, D118, D119, D120, D121, D122, D123, D124, D125, D126, D127, D128, D129, D130, D131, D132, D133, D134, D135, D136, D137, D138, D139, D140, D141, D142, D143, D144","122","LED","LED_SMD:LED_1812_4532Metric_Pad1.30x3.40mm_HandSolder",""
"7","D18","1","1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal",""
"8","J1","1","ON/OFF","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"9","J2","1","Conn_bateria","TerminalBlock:TerminalBlock_Altech_AK300-2_P5.00mm",""
"10","Q1, Q2, Q3, Q4, Q5, Q6","6","BC549","Package_TO_SOT_THT:TO-92_Inline",""
"11","R1","1","10k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"12","R2","1","700","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"13","R3, R4, R6, R8, R11, R13","6","510","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"14","R5, R7, R9, R10, R12, R14, R15","7","330","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"15","RV1","1","10k","Potentiometer_THT:Potentiometer_ACP_CA9-V10_Vertical",""
"16","U1","1","LM555xM","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm",""
"17","U2, U3, U4, U5","4","4017","Package_SO:TSSOP-16_4.4x5mm_P0.65mm",""
"18","U6, U7, U8, U9","4","74LS08","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm",""
"19","U10","1","74HC04","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm",""
"20","U11, U12, U13","3","74LS32","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm",""
